Geneid	GSM1842140	GSM1842141	GSM1842142	GSM1842143	GSM1842144	GSM1842145	GSM1842146	GSM1842147	GSM1842148	GSM1842149	GSM1842150	GSM1842151	GSM1842152	GSM1842153	GSM1842154
ENSMUSG00000102588	0	4	0	0	0	0	0	0	0	0	0	0	0	7	0
ENSMUSG00000054493	4	6	4	2	4	6	10	2	0	0	0	0	0	16	0
ENSMUSG00000025930	0	2	66	21	33	81	83	24	5	0	10	46	0	80	18
ENSMUSG00000103492	0	8	6	0	0	4	0	0	0	0	0	0	0	10	0
ENSMUSG00000081201	7	10	0	8	2	2	13	0	0	0	4	30	0	7	0
ENSMUSG00000082193	82	29	18	37	16	6	29	18	6	0	2	11	2	49	6
ENSMUSG00000032769	1	11	3	4	2	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	20	13	11	19	4	4	17	2	8	2	0	2	4	13	4
ENSMUSG00000092083	0	17	138	108	273	160	151	4	0	0	0	0	12	5	0
ENSMUSG00000102937	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000104149	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000088829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025925	733	869	1058	1095	842	819	754	520	445	276	586	855	368	3560	405
ENSMUSG00000104379	10	12	9	48	22	21	2	0	0	8	0	0	0	24	4
ENSMUSG00000032719	25	31	18	315	140	35	30	6	10	0	22	0	0	71	10
ENSMUSG00002076565	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100652	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000067795	0	3	9	6	10	2	4	0	0	0	0	0	0	26	0
ENSMUSG00000043716	155238	133978	47099	172842	57168	42285	77111	27762	20528	15192	34256	49457	15493	218643	25642
ENSMUSG00000025921	846	1115	1076	1405	972	1125	752	1135	1007	1072	1107	1460	960	8887	1155
ENSMUSG00000104165	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868	1	5	4	1	4	0	0	0	0	0	0	0	0	11	0
ENSMUSG00000025920	2313	2965	983	2306	1910	1318	1071	1276	1134	1557	1943	2015	1410	10816	1354
ENSMUSG00000089982	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025939	1722	1730	1535	2732	1609	1995	2269	793	672	767	1360	1172	869	6590	791
ENSMUSG00000102457	2	13	7	9	0	22	6	2	0	0	0	0	0	18	0
ENSMUSG00000079658	6534	5564	2484	8922	2718	2362	3311	1557	1096	975	2073	2472	933	10479	1222
ENSMUSG00000097744	0	4	0	2	2	0	0	0	0	0	0	0	0	8	0
ENSMUSG00000100959	2	0	0	2	0	0	0	0	0	0	4	48	0	6	0
ENSMUSG00000025940	1309	1427	886	2085	1011	1420	1445	1130	578	651	1135	1169	769	8243	865
