Symbol	GSM225042	GSM225043	GSM225044	GSM225045	GSM225046	GSM225047	GSM230247	GSM230248	GSM230249	GSM230250	GSM230251	GSM230252	GSM230253	GSM230254	GSM230255	GSM230256	GSM230257	GSM230258	GSM230259	GSM230268	GSM230269	GSM230270	GSM230271	GSM230272	GSM230273	GSM230274	GSM230275	GSM230276	GSM230277	GSM230278	GSM230280	GSM230281	GSM230282	GSM230283	GSM230284	GSM230285	GSM230286	GSM230287	GSM230288	GSM230289	GSM230290	GSM230291	GSM230292	GSM230293	GSM230294	GSM230295	GSM230296	GSM230297	GSM230298	GSM230299	GSM230300	GSM230301	GSM230302
AARS2	6.23599209336932	6.35410754375203	6.12361617636891	6.15828430973713	6.5947879414813	5.98447222774611	6.7626521515	6.93515995	6.702147034	6.8248147855	7.0404139545	6.6950764775	6.681995083	6.429517578	6.53716633	6.3026030085	6.6410386375	6.219872573	6.636200938	6.6240317425	6.7577115875	6.5570370425	6.6650017945	6.9441049925	6.353130393	5.419778936	5.6220783025	5.323357138	5.7582510035	5.441275117	6.8001515015	7.0584768215	6.952984423	6.9613088645	7.1605557435	6.534622683	5.652983915	6.1117212235	6.422949875	6.1155326425	6.25443016	6.029456609	6.3499926825	6.336733825	6.0017930545	6.4589485835	5.8841193675	5.550646673	5.837236672	5.6104779635	5.8969370005	5.637749813	5.673570498
AARSD1	7.02716134471043	6.71334297297457	6.13800372763867	6.94634490764908	6.71020706493135	6.4266011319261	7.609144888	7.31325608	6.810652387	7.334885055	7.101439511	6.670564352	6.888739764	6.863114362	6.809040181	6.889371174	6.793126654	6.774910584	6.865384068	7.59332815	7.085178585	6.414287413	7.031994321	6.908950802	6.697466398	5.674306174	6.062824605	5.939552962	6.547338162	6.296253214	7.672995307	7.29749049	6.657545378	7.344627308	7.082954337	6.853267326	6.44712353	6.950352376	6.963303964	6.756915622	6.907582137	6.387732985	6.003739164	5.540160568	5.934116389	5.826912126	5.706420385	4.999766724	5.18174782	4.853066415	5.023794298	5.139494229	5.263218068
AASDH	5.72202513346049	6.41450917307041	5.37004647049757	5.0370902194485	5.59004755519426	5.34644618317541	6.1916688795	6.9901550705	5.9609175575	5.5735911385	6.174904708	6.027330652	7.4559843965	7.2625695795	7.30192996	7.3547532465	6.8009539175	7.342510022	7.1881473675	5.951361243	6.613344588	5.5264070645	5.4869927205	5.938975477	5.693159987	5.921833919	5.951361813	5.9844620635	6.081624166	6.009892906	6.282920411	7.097331353	5.915234553	6.0690327785	6.3222612255	6.1628654225	6.547225621	6.518571835	7.1548634955	7.036255921	7.0796076775	5.284957866	6.3132992185	4.9192630675	4.978499126	5.3573732815	5.197994403	6.133636713	6.4307003975	6.1104796375	6.285900321	6.0671768295	5.6706959855
AASDHPPT	5.69516204357566	5.80506346169519	5.45644079979615	5.38031595354689	5.48374366674044	6.18591774194034	6.12680838166667	6.29136221266667	5.99949361466667	5.8425161	5.89290356333333	6.511979923	6.363983066	6.16699207166667	5.93925857766667	6.00312154833333	5.98740257433333	6.23313882566667	6.21997746133333	5.882782975	6.14851728633333	5.83004506733333	5.47579329566667	5.64887868633333	6.326636269	5.98208621266667	5.93551026166667	5.32247040633333	6.077594477	5.814738152	6.07209707933333	6.352677617	5.89442595033333	5.68560085666667	5.795220588	6.593924819	6.425056578	6.52381605966667	6.76942960633333	6.66495590233333	6.781912021	5.401957754	5.65838975433333	5.222438512	5.03184908533333	5.196552988	5.940674919	5.69631264933333	5.90264860033333	5.77534881433333	5.864579836	5.904514038	5.81063963566667
AASS	7.99109129428284	5.71908802147485	4.42176034275833	4.60481616140621	4.45538020269928	4.17265530239897	8.543103417	6.1074477625	5.392367165	5.318098747	5.3956926385	5.3530679665	5.4810298635	5.5402376015	5.337596991	5.523828756	5.6795412555	5.485340469	5.57246684	8.535012801	5.9907627475	4.4986538205	4.833621423	4.8854929325	4.679263873	5.0888291325	5.7572297555	5.2834243245	5.6097445445	5.351881541	8.4005141065	5.8567672305	4.3951794225	4.6102495135	4.8820740035	4.575937241	5.691063595	6.0324131765	7.758584731	7.1283325475	6.979362961	7.6517981605	5.281050986	3.891281704	4.197039549	4.1677797575	3.6418549675	3.108528502	3.119646072	2.8043150075	3.141481772	2.864391934	2.8614557695
AATF	8.06414534542616	7.60007896595969	7.49883045117687	7.72824908987495	7.64916665191934	7.65262737966925	8.379670915	7.949151778	7.87039129	8.204113747	8.005166557	8.034045934	7.935399681	7.723972451	7.686177621	7.540039762	7.728151802	7.539819339	7.801309312	8.583523618	8.106596644	7.889628059	8.465724622	8.089662825	8.069736613	7.59462227	7.126178263	8.604706372	9.222814856	8.338428821	8.702168558	8.229416298	8.033606229	8.702888524	8.21289633	8.192641876	8.621634246	8.28503402	8.102123179	7.759061092	7.614328795	7.64523903	6.955044564	6.976948033	7.221231519	7.172966307	7.153401846	7.723163716	7.482538326	7.480801231	7.412217381	7.76878162	8.024366551
AATK	6.34031055561207	6.52761682258493	6.80663455339935	6.51189400245279	6.65422188863163	6.55893918253024	6.634211972	7.008001618	7.469418952	7.055872452	7.15010128	6.951262004	6.550962403	6.801847447	6.714145137	6.758896907	6.741086232	6.746699388	6.563862247	6.178829977	6.306495477	6.976972849	6.266878705	6.456599326	6.478366677	5.223492936	5.692095452	5.560945801	5.153705925	5.348203975	6.523096374	6.65190593	7.318924905	6.612502553	6.759920394	6.654604949	5.327293295	6.11228401	5.473123931	5.942864864	5.873624499	6.748292893	6.64009638	7.441882671	7.082223135	6.987443705	7.110478358	6.666674207	6.29158636	6.255881018	6.584600414	6.876122665	6.328921924
AB074162	4.32564234525221	4.5429137816826	4.1114587681857	4.1647382687673	4.45040149023859	4.25222175962599	4.755783249	4.913531794	4.631433534	4.418740757	4.941775116	4.574445536	5.091080431	4.949002297	4.521235339	5.252944237	4.257873645	4.269797959	4.792144137	4.477138191	4.69827457	4.270916505	4.287373201	4.673336829	4.477138191	5.469082369	4.773333822	4.119468721	4.16735691	4.596745733	5.049164876	5.29352027	4.967809401	4.755327949	5.420713739	5.152683609	5.378200717	5.354679012	5.5828904	5.981325741	6.070496266	4.051773664	4.188362197	3.844394988	3.693773226	4.216087697	4.027694548	4.257554137	4.123279416	4.797841682	4.757416738	4.147809769	4.873548603
AB488780	5.52258714010366	5.68351967165335	6.02441893447159	5.57043423944523	6.191393260393	5.74739368247111	6.233180281	6.43728351	6.547663832	6.322101861	6.752560563	6.384148298	6.877274528	6.122726667	5.87958738	6.215615004	6.240442504	5.677494838	6.767606897	5.538754292	6.060352388	5.747896488	5.572270673	6.408777527	5.848669601	5.551108805	5.790453625	5.293657766	5.352129749	5.101788773	5.714223746	5.87678441	6.044470019	5.895514031	6.448859629	5.975619916	5.427872714	5.959789572	6.183592282	6.362758353	6.158720017	5.149440899	5.420881951	5.70642719	5.363348857	6.253792833	5.828293762	5.732263411	5.851838544	5.316889941	5.681469399	5.918855759	5.773487682
ABAT	3.9396791586971	3.73386338258974	5.5056626816817	3.62603233126207	3.54551890620485	4.10596247124988	4.57706723266667	4.36553824966667	5.77531011033333	4.029685387	4.17360691766667	4.741736652	5.174496528	5.28357652533333	5.57456467733333	6.62161306466667	5.352175231	5.36973527533333	5.20779274933333	4.622691042	4.46590049733333	5.93632560633333	4.10462411333333	3.94011637433333	4.98992596666667	5.48139239966667	6.681823645	6.61468272	6.49534050433333	6.12223364233333	5.005202083	4.69729068233333	6.15974836633333	4.456510128	4.370048714	5.328834866	7.28881551833333	7.717831776	7.617895632	6.961424506	8.12940608233333	4.13526201066667	3.74228015466667	5.439708049	3.77663452733333	3.67832062866667	4.51794607566667	6.72356301733333	6.16025569066667	7.103797618	6.722154386	6.68518228266667	5.15081895433333
