geneSymbol	CellType	Source
BCL2A1D	Alveolar macrophages: Lungs	PanglaoDB
GDA	Alveolar macrophages: Lungs	PanglaoDB
CLEC7A	Alveolar macrophages: Lungs	PanglaoDB
BCL2A1B	Alveolar macrophages: Lungs	PanglaoDB
ITGAX	Alveolar macrophages: Lungs	PanglaoDB
TNFAIP2	Alveolar macrophages: Lungs	PanglaoDB
CD36	Alveolar macrophages: Lungs	PanglaoDB
GAL	Alveolar macrophages: Lungs	PanglaoDB
CAR4	Alveolar macrophages: Lungs	PanglaoDB
EAR2	Alveolar macrophages: Lungs	PanglaoDB
TLR2	Alveolar macrophages: Lungs	PanglaoDB
GPNMB	Alveolar macrophages: Lungs	PanglaoDB
MRC1	Alveolar macrophages: Lungs	PanglaoDB
LYZ1	Alveolar macrophages: Lungs	PanglaoDB
MARCO	Alveolar macrophages: Lungs	PanglaoDB
CSF2RB	Alveolar macrophages: Lungs	PanglaoDB
MPP1	Alveolar macrophages: Lungs	PanglaoDB
TRIM25	Alveolar macrophages: Lungs	PanglaoDB
EAR1	Alveolar macrophages: Lungs	PanglaoDB
OLR1	Alveolar macrophages: Lungs	PanglaoDB
S100A4	Alveolar macrophages: Lungs	PanglaoDB
GNGT2	Alveolar macrophages: Lungs	PanglaoDB
SIGLECF	Alveolar macrophages: Lungs	PanglaoDB
AGA	Anterior pituitary gland cells: Brain	PanglaoDB
ANGPT1	Anterior pituitary gland cells: Brain	PanglaoDB
CHGA	Anterior pituitary gland cells: Brain	PanglaoDB
CPEB4	Anterior pituitary gland cells: Brain	PanglaoDB
GH	Anterior pituitary gland cells: Brain	PanglaoDB
IGSF1	Anterior pituitary gland cells: Brain	PanglaoDB
MEST	Anterior pituitary gland cells: Brain	PanglaoDB
NKTR	Anterior pituitary gland cells: Brain	PanglaoDB
NUCB2	Anterior pituitary gland cells: Brain	PanglaoDB
PITX2	Anterior pituitary gland cells: Brain	PanglaoDB
POU1F1	Anterior pituitary gland cells: Brain	PanglaoDB
PRL	Anterior pituitary gland cells: Brain	PanglaoDB
RAB27A	Anterior pituitary gland cells: Brain	PanglaoDB
RCN3	Anterior pituitary gland cells: Brain	PanglaoDB
SEZ6L2	Anterior pituitary gland cells: Brain	PanglaoDB
SIX6	Anterior pituitary gland cells: Brain	PanglaoDB
TBRG1	Anterior pituitary gland cells: Brain	PanglaoDB
TMEM130	Anterior pituitary gland cells: Brain	PanglaoDB
POMC	Anterior pituitary gland cells: Brain	PanglaoDB
GMPPA	Anterior pituitary gland cells: Brain	PanglaoDB
TRIM30B	Anterior pituitary gland cells: Brain	PanglaoDB
GNB3	Anterior pituitary gland cells: Brain	PanglaoDB
HEPACAM2	Anterior pituitary gland cells: Brain	PanglaoDB
ASB4	Anterior pituitary gland cells: Brain	PanglaoDB
