geneSymbol	CellType	Source
THY1	Adipose-derived stromal cell: Adipose tissue	CellMarker
ENG	Adipose-derived stromal cell: Adipose tissue	CellMarker
ITGB1	Adipose-derived stromal cell: Adipose tissue	CellMarker
CD44	Adipose-derived stromal cell: Adipose tissue	CellMarker
MYC	Adipose-derived stromal cell: Adipose tissue	CellMarker
KLF4	Adipose-derived stromal cell: Adipose tissue	CellMarker
NANOG	Adipose-derived stromal cell: Adipose tissue	CellMarker
POU5F1	Adipose-derived stromal cell: Adipose tissue	CellMarker
SOX2	Adipose-derived stromal cell: Adipose tissue	CellMarker
MME	Adipose-derived stromal cell: Subcutaneous adipose tissue	CellMarker
THBD	Adipose-derived stromal cell: Subcutaneous adipose tissue	CellMarker
F3	Adipose-derived stromal cell: Visceral adipose tissue	CellMarker
CD200	Adipose-derived stromal cell: Visceral adipose tissue	CellMarker
PECAM1	Adventitial cell: Skeletal muscle	CellMarker
CD34	Adventitial cell: Skeletal muscle	CellMarker
PTPRC	Adventitial cell: Skeletal muscle	CellMarker
NCAM1	Adventitial cell: Skeletal muscle	CellMarker
ENG	Adventitial cell: Undefined	CellMarker
CD34	Adventitial cell: Undefined	CellMarker
CD44	Adventitial cell: Undefined	CellMarker
NT5E	Adventitial cell: Undefined	CellMarker
THY1	Adventitial cell: Undefined	CellMarker
CSPG4	Adventitial cell: Undefined	CellMarker
AQP3	Airway secretory cell: Lung	CellMarker
MUC5AC	Airway secretory cell: Lung	CellMarker
MUC5B	Airway secretory cell: Lung	CellMarker
PIGR	Airway secretory cell: Lung	CellMarker
SCGB1A1	Airway secretory cell: Lung	CellMarker
UBA2	Alpha cell: Pancreas	CellMarker
LDB2	Alpha cell: Pancreas	CellMarker
CRYBA2	Alpha cell: Pancreas	CellMarker
FEV	Alpha cell: Pancreas	CellMarker
GBA	Alpha cell: Pancreas	CellMarker
HMGB3	Alpha cell: Pancreas	CellMarker
TM4SF4	Alpha cell: Pancreas	CellMarker
IRX2	Alpha cell: Pancreas	CellMarker
KLHL41	Alpha cell: Pancreas	CellMarker
LOXL4	Alpha cell: Pancreas	CellMarker
MAFB	Alpha cell: Pancreas	CellMarker
