Symbol	GSM364903	GSM364904	GSM364905	GSM364906
1500004A13Rik	-0.1717006075	-0.3292345	0.2625976775	0.24816637
1500009C09Rik	0.13264737	0.0542365	0.33454868	-0.00625453
1500009L16Rik	-0.35616615	0.533717	-0.84913415	1.06691
1500010C09Rik	0	0	0	0
1500010J02Rik	0.26462585	-0.2459385	-0.209384995	-0.549371
1500011B03Rik	1.2238834	-1.04815	1.3636638	-1.02063
1500011H22Rik	1.5575455	-1.20131	1.6687981	-0.92884
1500011K16Rik	0.6039624	-0.276196	0.73877627	-0.345935
1500012F01Rik	0.4995396	-0.504309	1.3051964	-1.09549
1500015L24Rik	0.007634881	0.411654	0.2651666	0.198498
1500015O10Rik	0	0	0	0
1500016L03Rik	0.33883917	0.000853813	1.0004615	-0.314809
1500026H17Rik	0.138929246666667	0.00455196666666667	0.318891533333333	0.00841423333333333
1500031L02Rik	0.32673052	0.112241	0.33787382	0.225208
1500032F14Rik	0	0	0	0
1500032L24Rik	-0.11362457	0.277463	-0.40872237	0.550426
1500035N22Rik	3.332115	-3.32521	2.9699993	-2.85386
1500037F05Rik	0.09210432	-0.112189	0	0.145281
1520402A15Rik	1.43639085	-1.86314	1.14541075	-0.64486
1600002D24Rik	0.39976683	0.380065	1.020405	-0.430581
1600002H07Rik	0.24483256	0.00760084	0.06744158	0.318349
1600002K03Rik	-0.3568199	0.232835	-0.2134452	0.0640334
1600012F09Rik	0.548598743333333	-0.461656	-0.32996712	-0.059705
1600012H06Rik	0.086434625	0.205839	-0.0594879	0.292733
1600012P17Rik	-0.80531514	0.573307	1.919481	-0.100084
1600014C10Rik	-0.7274066625	0.62658	-0.3247170675	0.178138
1600014C23Rik	5.0813184	-4.20402	3.9054058	-3.62646
1600014K23Rik	0.60669446	-0.117728	-0.03849546	0.0718285
1600015I10Rik	-0.16338617	-0.0982827	0.149986	-0.264071
1600016N20Rik	0.6019909	-0.825542	-0.588545	0.0464966
1600017P15Rik	0	0	0	0
1600020E01Rik	1.1531967	-0.950184	0.034700748	-0.0298344
1600021P15Rik	-0.371526095	-0.0248437	-0.15827338	0.1274145
1600025M17Rik	-0.5617695	0.363015	0.23761523	0.228073
1600027J07Rik	1.2217829	-1.69268	1.4568454	-1.76056
1600027N09Rik	0.570022	-0.540644	0.19743404	0.360603
1600029D21Rik	0.74238655	-1.699275	0.87064569	-0.601961
1600029I14Rik	-1.1291008	1.38913	-1.4229589	1.19678
1600029O15Rik	0.74136907	-0.417138	0.9652868	-0.579246
1700001C02Rik	0.1818441925	-0.21024435	-0.11537664	-0.5646665
1700001C19Rik	-0.445894785	0.48682	-0.1381637	0.1165545
1700001F09Rik	-0.029097026	0.9792005	0.9458398	-0.895475
1700001G17Rik	-0.009867724	-1.70389	1.1060317	-1.71748
1700001J03Rik	0.025480926	0.526765	0.6139987	-0.177715
1700001J04Rik	-0.08677219	0.261443	0.16529055	-0.196245
1700001J11Rik	0.41246104	-3.36148	0.38134637	-0.711945
1700001K19Rik	-0.19426222	0.0509576	0.58718896	-0.396425
1700001K23Rik	0.32647145	0.188776	-0.03341798	0.0304287
1700001L05Rik	0.04561802	-0.40183	0.623953592	-0.543573
1700001L19Rik	0	0	0	0.561059
1700001N15Rik	0	0	0	0
1700001O22Rik	0.252499925	-0.078775	0.81520258	-0.49863625
1700001P01Rik	-0.314201603	0.06355905	-0.437882475	0.5751515
1700003E16Rik	0.119643286	-0.11376	0.31828502	-0.034863
1700003F12Rik	-2.2742505	1.17994	-0.42682263	1.0398
1700003G18Rik	0.5844816	0.169413	0.57962877	0.140316
1700003H04Rik	0	0.314663	0	0
1700003M02Rik	0	0.2562525	0	0
1700003O11Rik	0	0	0	0
1700006A11Rik	0.47545925	0.575208	0.41043234	-1.00322
1700006E09Rik	0	-0.205652	0	-0.0752975
1700006J14Rik	-0.647661	0.258371	0.56344336	-0.253695
1700007B14Rik	0	0	0	0
1700007G11Rik	0.5582831	-0.210217	2.7185504	-1.71235
1700007H22Rik	0	0	0	0
1700007I08Rik	0	-0.205829	0	0
1700007J24Rik	0	0.376721	-1.1222124	-1.51226
1700007K09Rik	0.4686157	-0.664758	0.39283285	0.145954
1700007K13Rik	-1.853524	-0.88124	0.38259205	-0.0261429
1700008A04Rik	0.1724011	-0.494632	0.5187011	-0.00436515
1700008A07Rik	0.29968357	-0.204575	0.16847457	0.225732
1700008F21Rik	0	0	0	0
1700008H02Rik	0	0	0	0
1700008I05Rik	0	0	0	0
1700008O03Rik	0.49693248	-0.7465655	0.344692575	-0.8067185
1700008P02Rik	-0.7852893	0.402307	0.04627324	0.377634
1700008P20Rik	0.5991902	0.461897	1.2795341	-0.862118
1700009J07Rik	-0.28361315	0.646205	0.36307249	-0.2182865
1700009N14Rik	-0.25124034	0.00121008	0.29503712	0.264309
1700009P17Rik	0.15395367	-0.00294606	0.8888079	-0.430126
1700010B08Rik	0.05922364	0.160897	0.41660878	-0.601891
1700010B13Rik	-0.534384	0.602827	-0.3301571	0.63748
1700010D01Rik	0	0.112671	0	0
1700010I14Rik	-0.9624221	0.722103	-0.77870035	0.83746
1700010L04Rik	0.005994881	0.35976	0.8645221	-0.489447
1700010M22Rik	0.291173525	-0.081733	0.57121196	-0.4092295
1700010N08Rik	-1.2443858	1.22834	0.802537	0.0443916
1700011A15Rik	-0.6355396	-0.172874	0.046432458	0.0269619
1700011B04Rik	0	0	0	0
1700011E24Rik	0.1949609	0.887756	-0.22417654	0.328135
1700011F03Rik	0	0	0	0.469382
1700011F14Rik	0	0	0	0
1700011H14Rik	-3.0046644	2.14256	-2.9606109	3.20853
1700011I03Rik	0	0	0	0
1700011J10Rik	0.695344	-0.403969	1.5206907	-0.874972
1700011L22Rik	0.044455487	0.489956	0.09209415	-0.177086
1700012A03Rik	-0.21104725	-0.154281	-0.33906725	0.0307166
1700012A16Rik	1.6735168	-1.11543	-0.50836045	-1.19201
1700012B07Rik	0	0	0	0
1700012B09Rik	0	0	-1.15466775	0
1700012B15Rik	0.808026995	-0.200562	-0.19169637	0.62246
1700012D14Rik	1.45793147	-1.056942	1.290416	-0.08921
1700012L04Rik	-0.64766815	0.651761	-0.0875242	0.1067279
1700012P22Rik	-0.28098303	0.3782415	-0.024932585	0.252629
1700013D24Rik	0	0	0	0
1700013F07Rik	-0.47759792	0.437099	1.1498164	-0.539388
1700013G24Rik	0.18363553	0.0858018	-0.04236388	0.140674
1700013H16Rik	0	-0.311567	0	0
1700013N18Rik	0.6603104	0.784095	0.23715131	0.416954
1700014B07Rik	-1.2259064	1.2243	-0.6758744	0.480126
