KO	Pathway
K03954	mmu00190
K03955	mmu00190
K03956	mmu00190
K03957	mmu00190
K03958	mmu00190
K03959	mmu00190
K03960	mmu00190
K03961	mmu00190
K03962	mmu00190
K03963	mmu00190
K03964	mmu00190
K03965	mmu00190
K03966	mmu00190
K03967	mmu00190
K03968	mmu00190
K05572	mmu00190
K05573	mmu00190
K05574	mmu00190
K05575	mmu00190
K05576	mmu00190
K05577	mmu00190
K05578	mmu00190
K05579	mmu00190
K05580	mmu00190
K05581	mmu00190
K05582	mmu00190
K05583	mmu00190
K05584	mmu00190
K05585	mmu00190
K05586	mmu00190
K05587	mmu00190
K05588	mmu00190
K06019	mmu00190
K08738	mmu00190
K11351	mmu00190
K11352	mmu00190
K11353	mmu00190
K11725	mmu00190
K11726	mmu00190
K13378	mmu00190
K13380	mmu00190
K15408	mmu00190
K15862	mmu00190
K15863	mmu00190
K15986	mmu00190
K18859	mmu00190
K18860	mmu00190
K22468	mmu00190
K22501	mmu00190
K24007	mmu00190
K24008	mmu00190
K24009	mmu00190
K24010	mmu00190
K24011	mmu00190
K25801	mmu00190
K25995	mmu00190
K25996	mmu00190
K27109	mmu00190
K00145	mmu00220
K00260	mmu00220
K00261	mmu00220
K00262	mmu00220
K00491	mmu00220
K00611	mmu00220
K00618	mmu00220
K00619	mmu00220
K00620	mmu00220
K00811	mmu00220
K00812	mmu00220
K00813	mmu00220
K00814	mmu00220
K00818	mmu00220
K00821	mmu00220
K00926	mmu00220
K00930	mmu00220
K01425	mmu00220
K01427	mmu00220
K01428	mmu00220
K01429	mmu00220
K01430	mmu00220
K01438	mmu00220
K01457	mmu00220
K01476	mmu00220
K01478	mmu00220
K01755	mmu00220
K01915	mmu00220
K01940	mmu00220
K01941	mmu00220
K01948	mmu00220
K01954	mmu00220
K01955	mmu00220
K01956	mmu00220
K05597	mmu00220
K05828	mmu00220
K05829	mmu00220
K05830	mmu00220
K05831	mmu00220
K09065	mmu00220
K11067	mmu00220
K11358	mmu00220
K11540	mmu00220
K11541	mmu00220
K12659	mmu00220
K13240	mmu00220
K13241	mmu00220
K13242	mmu00220
K13427	mmu00220
K14048	mmu00220
K14260	mmu00220
K14272	mmu00220
K14454	mmu00220
K14455	mmu00220
K14541	mmu00220
K14677	mmu00220
K14681	mmu00220
K14682	mmu00220
K15371	mmu00220
K19412	mmu00220
K22476	mmu00220
K22477	mmu00220
K22478	mmu00220
K23265	mmu00220
K25032	mmu00220
K27542	mmu00220
K27545	mmu00220
K00073	mmu00230
K00087	mmu00230
K00088	mmu00230
K00106	mmu00230
K00364	mmu00230
K00365	mmu00230
K00524	mmu00230
K00525	mmu00230
K00526	mmu00230
K00527	mmu00230
K00601	mmu00230
K00602	mmu00230
K00759	mmu00230
K00760	mmu00230
K00764	mmu00230
K00769	mmu00230
K00839	mmu00230
K00856	mmu00230
K00860	mmu00230
K00892	mmu00230
K00893	mmu00230
K00904	mmu00230
K00926	mmu00230
K00939	mmu00230
K00940	mmu00230
K00942	mmu00230
K00944	mmu00230
K00948	mmu00230
K00951	mmu00230
K00955	mmu00230
K00956	mmu00230
K00957	mmu00230
K00958	mmu00230
K00988	mmu00230
K01081	mmu00230
K01119	mmu00230
K01120	mmu00230
K01129	mmu00230
K01139	mmu00230
K01239	mmu00230
K01241	mmu00230
K01427	mmu00230
K01428	mmu00230
K01429	mmu00230
K01430	mmu00230
K01466	mmu00230
K01477	mmu00230
K01483	mmu00230
K01486	mmu00230
K01487	mmu00230
K01488	mmu00230
K01490	mmu00230
K01492	mmu00230
K01509	mmu00230
K01510	mmu00230
K01511	mmu00230
K01513	mmu00230
K01514	mmu00230
K01515	mmu00230
K01517	mmu00230
K01518	mmu00230
K01519	mmu00230
K01522	mmu00230
K01524	mmu00230
K01525	mmu00230
K01529	mmu00230
K01587	mmu00230
K01588	mmu00230
K01589	mmu00230
K01756	mmu00230
K01768	mmu00230
K01769	mmu00230
K01835	mmu00230
K01839	mmu00230
K01923	mmu00230
K01933	mmu00230
K01939	mmu00230
K01945	mmu00230
K01951	mmu00230
K01952	mmu00230
K02083	mmu00230
K02566	mmu00230
K03651	mmu00230
K03783	mmu00230
K03784	mmu00230
K03787	mmu00230
K03816	mmu00230
K04765	mmu00230
K05810	mmu00230
K05851	mmu00230
K05873	mmu00230
K05961	mmu00230
K06863	mmu00230
K06928	mmu00230
K06952	mmu00230
K06966	mmu00230
K07023	mmu00230
K07127	mmu00230
K07816	mmu00230
K08041	mmu00230
K08042	mmu00230
K08043	mmu00230
K08044	mmu00230
K08045	mmu00230
K08046	mmu00230
K08047	mmu00230
K08048	mmu00230
K08049	mmu00230
K08289	mmu00230
K08312	mmu00230
K08693	mmu00230
K08718	mmu00230
K08722	mmu00230
K09769	mmu00230
K09913	mmu00230
K10353	mmu00230
K10807	mmu00230
K10808	mmu00230
K11029	mmu00230
