KO	Pathway
K07430	hsa00140
K07433	hsa00140
K07434	hsa00140
K10207	hsa00140
K10251	hsa00140
K12343	hsa00140
K12344	hsa00140
K12345	hsa00140
K13368	hsa00140
K13369	hsa00140
K13370	hsa00140
K13373	hsa00140
K15680	hsa00140
K17689	hsa00140
K17690	hsa00140
K17691	hsa00140
K22970	hsa00140
K25779	hsa00140
K00233	hsa00190
K00234	hsa00190
K00235	hsa00190
K00236	hsa00190
K00237	hsa00190
K00239	hsa00190
K00240	hsa00190
K00241	hsa00190
K00242	hsa00190
K00244	hsa00190
K00245	hsa00190
K00246	hsa00190
K00247	hsa00190
K00330	hsa00190
K00331	hsa00190
K00332	hsa00190
K00333	hsa00190
K00334	hsa00190
K00335	hsa00190
K00336	hsa00190
K00337	hsa00190
K00338	hsa00190
K00339	hsa00190
K00340	hsa00190
K00341	hsa00190
K00342	hsa00190
K00343	hsa00190
K00404	hsa00190
K00405	hsa00190
K00406	hsa00190
K00407	hsa00190
K00410	hsa00190
K00411	hsa00190
K00412	hsa00190
K00413	hsa00190
K00414	hsa00190
K00415	hsa00190
K00416	hsa00190
K00417	hsa00190
K00418	hsa00190
K00419	hsa00190
K00420	hsa00190
K00424	hsa00190
K00425	hsa00190
K00426	hsa00190
K00937	hsa00190
K01507	hsa00190
K01535	hsa00190
K01542	hsa00190
K01543	hsa00190
K01544	hsa00190
K01549	hsa00190
K02107	hsa00190
K02108	hsa00190
K02109	hsa00190
K02110	hsa00190
K02111	hsa00190
K02112	hsa00190
K02113	hsa00190
K02114	hsa00190
K02115	hsa00190
K02117	hsa00190
K02118	hsa00190
K02119	hsa00190
K02120	hsa00190
K02121	hsa00190
K02122	hsa00190
K02123	hsa00190
K02124	hsa00190
K02125	hsa00190
K02126	hsa00190
K02127	hsa00190
K02128	hsa00190
K02129	hsa00190
K02130	hsa00190
K02131	hsa00190
K02132	hsa00190
K02133	hsa00190
K02134	hsa00190
K02135	hsa00190
K02136	hsa00190
K02137	hsa00190
K02138	hsa00190
K02139	hsa00190
K02140	hsa00190
K02141	hsa00190
K02142	hsa00190
K02143	hsa00190
K02144	hsa00190
K02145	hsa00190
K02146	hsa00190
K02147	hsa00190
K02148	hsa00190
K02149	hsa00190
K02150	hsa00190
K02151	hsa00190
K02152	hsa00190
K02153	hsa00190
K02154	hsa00190
K02155	hsa00190
K02256	hsa00190
K02257	hsa00190
K02258	hsa00190
K02259	hsa00190
K02260	hsa00190
K02261	hsa00190
K02262	hsa00190
K02263	hsa00190
K02264	hsa00190
K02265	hsa00190
K02266	hsa00190
K02267	hsa00190
K02268	hsa00190
K02269	hsa00190
K02270	hsa00190
K02271	hsa00190
K02272	hsa00190
K02273	hsa00190
K02274	hsa00190
K02275	hsa00190
K02276	hsa00190
K02277	hsa00190
K02297	hsa00190
K02298	hsa00190
K02299	hsa00190
K02300	hsa00190
K02826	hsa00190
K02827	hsa00190
K02828	hsa00190
K02829	hsa00190
K03661	hsa00190
K03662	hsa00190
K03878	hsa00190
K03879	hsa00190
K03880	hsa00190
K03881	hsa00190
K03882	hsa00190
K03883	hsa00190
K03884	hsa00190
K03885	hsa00190
K03886	hsa00190
K03887	hsa00190
K03888	hsa00190
K03889	hsa00190
K03890	hsa00190
K03891	hsa00190
K03934	hsa00190
K03935	hsa00190
K03936	hsa00190
K03937	hsa00190
K03938	hsa00190
K03939	hsa00190
K03940	hsa00190
K03941	hsa00190
K03942	hsa00190
K03943	hsa00190
K03944	hsa00190
K03945	hsa00190
K03946	hsa00190
K03947	hsa00190
K03948	hsa00190
K03949	hsa00190
K03950	hsa00190
K03951	hsa00190
K03952	hsa00190
K03953	hsa00190
K03954	hsa00190
K03955	hsa00190
K03956	hsa00190
K03957	hsa00190
K03958	hsa00190
K03959	hsa00190
K03960	hsa00190
K03961	hsa00190
K03962	hsa00190
K03963	hsa00190
K03964	hsa00190
K03965	hsa00190
K03966	hsa00190
K03967	hsa00190
K03968	hsa00190
K05572	hsa00190
K05573	hsa00190
K05574	hsa00190
K05575	hsa00190
K05576	hsa00190
K05577	hsa00190
K05578	hsa00190
K05579	hsa00190
K05580	hsa00190
K05581	hsa00190
K05582	hsa00190
K05583	hsa00190
K05584	hsa00190
K05585	hsa00190
K05586	hsa00190
K05587	hsa00190
K05588	hsa00190
K06019	hsa00190
K08738	hsa00190
K11351	hsa00190
K11352	hsa00190
K11353	hsa00190
K11725	hsa00190
K11726	hsa00190
K13378	hsa00190
K13380	hsa00190
K15408	hsa00190
K15862	hsa00190
K15863	hsa00190
K15986	hsa00190
K18859	hsa00190
K18860	hsa00190
K22468	hsa00190
K22501	hsa00190
K24007	hsa00190
K24008	hsa00190
K24009	hsa00190
K24010	hsa00190
K24011	hsa00190
K25801	hsa00190
K25995	hsa00190
K25996	hsa00190
K27109	hsa00190
K00145	hsa00220
K00260	hsa00220
K00261	hsa00220
K00262	hsa00220
K00491	hsa00220
K00611	hsa00220
K00618	hsa00220
K00619	hsa00220
K00620	hsa00220
K00811	hsa00220
K00812	hsa00220
K00813	hsa00220
K00814	hsa00220
K00818	hsa00220
K00821	hsa00220
K00926	hsa00220
K00930	hsa00220
K01425	hsa00220
K01427	hsa00220
K01428	hsa00220
K01429	hsa00220
K01430	hsa00220
K01438	hsa00220
K01457	hsa00220
K01476	hsa00220
K01478	hsa00220
K01755	hsa00220
K01915	hsa00220
K01940	hsa00220
K01941	hsa00220
K01948	hsa00220
K01954	hsa00220
K01955	hsa00220
K01956	hsa00220
K05597	hsa00220
K05828	hsa00220
K05829	hsa00220
K05830	hsa00220
K05831	hsa00220
K09065	hsa00220
K11067	hsa00220
K11358	hsa00220
K11540	hsa00220
K11541	hsa00220
K12659	hsa00220
K13240	hsa00220
K13241	hsa00220
K13242	hsa00220
K13427	hsa00220
K14048	hsa00220
K14260	hsa00220
K14272	hsa00220
K14454	hsa00220
K14455	hsa00220
K14541	hsa00220
K14677	hsa00220
K14681	hsa00220
K14682	hsa00220
K15371	hsa00220
K19412	hsa00220
K22476	hsa00220
K22477	hsa00220
K22478	hsa00220
K23265	hsa00220
K25032	hsa00220
K27542	hsa00220
K27545	hsa00220
K00073	hsa00230
K00087	hsa00230
K00088	hsa00230
K00106	hsa00230
K00364	hsa00230
K00365	hsa00230
K00524	hsa00230
K00525	hsa00230
K00526	hsa00230
K00527	hsa00230
K00601	hsa00230
K00602	hsa00230
K00759	hsa00230
K00760	hsa00230
K00764	hsa00230
K00769	hsa00230
K00839	hsa00230
K00856	hsa00230
K00860	hsa00230
K00892	hsa00230
K00893	hsa00230
K00904	hsa00230
K00926	hsa00230
K00939	hsa00230
K00940	hsa00230
K00942	hsa00230
K00944	hsa00230
K00948	hsa00230
K00951	hsa00230
K00955	hsa00230
K00956	hsa00230
K00957	hsa00230
K00958	hsa00230
K00988	hsa00230
K01081	hsa00230
K01119	hsa00230
K01120	hsa00230
K01129	hsa00230
K01139	hsa00230
K01239	hsa00230
K01241	hsa00230
K01427	hsa00230
K01428	hsa00230
K01429	hsa00230
K01430	hsa00230
K01466	hsa00230
K01477	hsa00230
K01483	hsa00230
K01486	hsa00230
K01487	hsa00230
K01488	hsa00230
K01490	hsa00230
K01492	hsa00230
K01509	hsa00230
K01510	hsa00230
K01511	hsa00230
K01513	hsa00230
K01514	hsa00230
K01515	hsa00230
K01517	hsa00230
K01518	hsa00230
K01519	hsa00230
K01522	hsa00230
K01524	hsa00230
K01525	hsa00230
K01529	hsa00230
K01587	hsa00230
K01588	hsa00230
K01589	hsa00230
K01756	hsa00230
K01768	hsa00230
K01769	hsa00230
K01835	hsa00230
K01839	hsa00230
K01923	hsa00230
K01933	hsa00230
K01939	hsa00230
K01945	hsa00230
K01951	hsa00230
K01952	hsa00230
K02083	hsa00230
K02566	hsa00230
K03651	hsa00230
K03783	hsa00230
K03784	hsa00230
K03787	hsa00230
K03816	hsa00230
K04765	hsa00230
K05810	hsa00230
K05851	hsa00230
K05873	hsa00230
K05961	hsa00230
K06863	hsa00230
K06928	hsa00230
K06952	hsa00230
K06966	hsa00230
K07023	hsa00230
K07127	hsa00230
K07816	hsa00230
K08041	hsa00230
K08042	hsa00230
K08043	hsa00230
K08044	hsa00230
K08045	hsa00230
K08046	hsa00230
K08047	hsa00230
K08048	hsa00230
K08049	hsa00230
K08289	hsa00230
K08312	hsa00230
K08693	hsa00230
K08718	hsa00230
K08722	hsa00230
K09769	hsa00230
K09913	hsa00230
K10353	hsa00230
K10807	hsa00230
K10808	hsa00230
K11029	hsa00230
K11175	hsa00230
K11176	hsa00230
K11177	hsa00230
K11178	hsa00230
K11265	hsa00230
K11751	hsa00230
K11787	hsa00230
K11788	hsa00230
K11808	hsa00230
K12304	hsa00230
K12305	hsa00230
K12318	hsa00230
K12319	hsa00230
K12320	hsa00230
K12321	hsa00230
K12322	hsa00230
K12323	hsa00230
K12324	hsa00230
K13293	hsa00230
K13294	hsa00230
K13296	hsa00230
K13298	hsa00230
K13479	hsa00230
K13480	hsa00230
K13481	hsa00230
K13482	hsa00230
K13483	hsa00230
K13484	hsa00230
